dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,NB
EDI,Eidgenössisches Departement des Innern,2012,480832203,Publisuisse SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,300398.75,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,,,,,310508.52,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,206604.53,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,64597.5,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,21247.4,,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,7880.55,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,15.1,Hardware,,,,,5587.55,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480014468,Swisscom (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,708,,,,425.5,,,
EDI,Eidgenössisches Departement des Innern,2012,488919820,Asyl-Organisation Zürich,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,600000,,,,
EDI,Eidgenössisches Departement des Innern,2012,480758879,Infras AG Forschung und Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,81996,,,,90380,26100,257638,,
EDI,Eidgenössisches Departement des Innern,2012,480758879,Infras AG Forschung und Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,106029.1,300,,
EDI,Eidgenössisches Departement des Innern,2012,480758879,Infras AG Forschung und Beratung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,18732,,,
EDI,Eidgenössisches Departement des Innern,2012,480758879,Infras AG Forschung und Beratung,18.5,Sprach- und Übersetzungsdienstleistungen,,,,,,300,,,,
EDI,Eidgenössisches Departement des Innern,2012,481311145,"Rexult AG Informatik, Unternehmensberatung",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,417058.95,86679.75,,
EDI,Eidgenössisches Departement des Innern,2012,481311145,"Rexult AG Informatik, Unternehmensberatung",18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,58374
EDI,Eidgenössisches Departement des Innern,2012,483628645,think beyond GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,557133.4,,
EDI,Eidgenössisches Departement des Innern,2012,481177293,Hitachi Data Systems AG,15.1,Hardware,,,,,538307.64,,,,,
EDI,Eidgenössisches Departement des Innern,2012,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,104782.6,57306.1,198311.7,,,
EDI,Eidgenössisches Departement des Innern,2012,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,,,,,259.2,27743.05,113153.45,,,
EDI,Eidgenössisches Departement des Innern,2012,484457734,Trivadis AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,9418.7,,,,,
EDI,Eidgenössisches Departement des Innern,2012,482770088,"Krieg, Schlupp, Bürge/ Springer & Jacoby Werbeagentur AG",18.4,Informationsarbeit,,,,,,500000,,,,
EDI,Eidgenössisches Departement des Innern,2012,480877112,Bruker Daltonics GmbH,4.2,Maschinen und Apparate,,,,,,469243.05,,,,
EDI,Eidgenössisches Departement des Innern,2012,481861545,Büro für Arbeits und sozialpolit Studien BASS AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,19286.6,,,,164822,88666,178300,,
EDI,Eidgenössisches Departement des Innern,2012,481861545,Büro für Arbeits und sozialpolit Studien BASS AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,669.6,,5000,,
EDI,Eidgenössisches Departement des Innern,2012,485613595,NextSoft GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,348780,,,
EDI,Eidgenössisches Departement des Innern,2012,485613595,NextSoft GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,79200,,,
